Statie,Nume,Lat,Long,Tema
1,Machetă Cetate 2,46.068950,23.568187,"Cetatea Alba Carolina, cu o incintă apărată de trei rânduri de ziduri, a primit o formă stelată, cu şapte bastioane alternate cu șase raveline, străbătute de galerii boltite, toate delimitate de şanţuri adânci. Forma de stea cu șapte colțuri este dată de cele șapte bastioane, care formează în zona centrală „incinta de siguranță“ a fortificației, cea mai importantă și cea mai bine protejată. Enumerarea de obicei a bastioanelor începe de la Poarta a III-a, spre sud, în sensul acelor de ceasornic. Bastioanele au primit denumiri speciale, legate de numele unor patroni laici sau religioși. Zidurile bastioanelor au la bază 2,5 metri grosime, iar înălțimea trece de 10 metri. Zidul drept care le unește se numește în limbaj tehnic curtină. Corpurile mari amplasate în fața curtinelor se numesc raveline. Ultima linie de ziduri se numește contragardă.

Temă: Numărați câte porți are cetatea. Identificați obiectele pe care le-ați vizitat până acum. "
2,Catedrala Încoronării,46.068493,23.569296,"Expresie arhitecturală a împlinirii visului de veacuri al românilor – realizarea României Mari prin actul de la 1 decembrie 1918 – edificiul a fost ridicat între anii 1921-1922, după planurile arhitectului Victor Ştefănescu, fiind gazda ceremoniilor de încoronare a Regelui Ferdinand I și a Reginei Maria, la 15 octombrie 1922. Catedrala, cunoscută și sub numele de Catedrala Reîntregirii,  stă mărturie veșnică a unității românilor din cele trei principate române. Semnificația istorică a momentului pentru care a fost ridicată este gravată și în perete: de o parte și de alta a ușii se înalță portretele suveranilor români sub care s-a întregit neamul.

Temă: Faceți o poză cu toată grupa între regina Maria și regele Ferdinand I și apoi postați-o la story pe Instagram, dând tag paginii Exploratori Romania și paginii departamentului de tineret/exploratori al conferinței voastre. 
"
3,Luneta,46.068753,23.570029,"Aflați scopul lunetei și ce se vede prin ea. Faceți o poză cu cel mai vizionar din grupă privind prin lunetă, în timp ce ceilalți membrii îl scot în evidență."
4,Dragostea,46.069831,23.570267,Temă: găsiți dragostea și faceți-i o poză! (Hint: aproape de desăvârșire)
5,Girafa discretă,46.069980,23.570319,"Temă: găsiți girafa și faceți o poză cu ea, fiecare mimând animalul preferat. "
6,Biblioteca Batthyaneum,46.070305,23.570654,"Prin colecția de cărți medievale și premoderne, Biblioteca Batthyaneum rămâne un veritabil muzeu al cărților rare, la mai bine de 200 de ani de la înființare.
Este un loc cu dublă valoare: spirituală și culturală. Este un monument de arhitectură religioasă, întrucât în prima fază a servit drept biserică și mănăstire pentru trinitarieni, un vechi ordin catolic dedicat Sfintei Trinități. Spre sfârșitul aceluiași secol, clădirea a fost transformată în spital militar, suferind și o serie de modificări.
Ulterior, complexul a fost preluat de către episcopul savant Ignaţiu Batthyány, care i-a dat, după 1792, o destinație culturală. După noi transformări, fosta biserică a devenit bibliotecă și observator astronomic. Ultimul a funcționat la etajul superior al clădirii și era la acea vreme cel mai modern din Transilvania. În prezent, este dezafectat. Piesa de rezistenţă a bibliotecii este faimosul Codex Aureus, datând de la începutul secolului al IX-lea și scris cu cerneală de aur. Alte piese de o valoare deosebită sunt o Biblia Sacra din secolul al XIII-lea, scrisă cu caractere gotice foarte mici, primul atlas geografic modern, realizat de Abraham Ortelius în 1595 sau Noul Testament de la Bălgrad din 1648.

Care este cartea preferată a fiecărui membru din grupă? "
7,Palatul Apor,46.070078,23.571951,"Palatul Apor este prima clădire civilă în stil baroc din Transilvania. Pe faţada principală a clădirii a fost amplasată monograma împăratului Carol al VI-lea, într-un blazon cu acvila bicefală, susţinut de doi lei. Este împăratul în vremea căruia s-a ridicat Cetatea Alba Carolina. În prezent această clădire este sediul Rectoratului Universităţii „1 Decembrie 1918”. 

Temă: Câte ferestre are Palatul Apor? "
8,Iezuit și copil,46.068756,23.571571,Temă: Faceți un filmuleț scurt în care încercați o reconstituire a discuției dintre calugăr și copil. Cea mai amuzantă interpretare va primi un măr la final. 
9,Muzeul Unirii,46.068202,23.571080,"Între anii 1851-1859 a fost ridicată această clădire care inițial a fost destinată să îi găzduiască pe ofițerii Imperiului Habsburgic. Ulterior, aceasta a primit porecla „Babilon” deoarece în acest pavilion al ofițerilor se pare că se vorbeau o mulțime din limbile pământului. Clădirea numără peste o sută de încăperi, iar zidurile groase de peste un metru o fac să aibă aspectul unei fortărețe. 
În anul 1968 i-a fost schimbată destinația și a fost inaugurată ca Muzeul Național al Unirii, care conține astăzi  în colecțiile sale circa 200.000 de exponate ce vă pot purta din preistoric până în zilele secolului trecut.

Temă: Faceți o horă a unirii grupei voastre și fiecare enunțați un lucru care poate să ajute la unitatea grupei voastre."
10,Sala Unirii,46.068168,23.571278,"Sala Unirii este una dintre cele mai importante clădiri din România prin perspectiva faptului că în această clădire au avut loc lucrările Marii Adunări Naționale de la 1 Decembrie 1918. La vremea aceea a fost singura clădire mai mare ce putea să găzduiască pe cei 1.228 de delegați ai națiunii române. Momentul central al acelei zile a fost citirea  de către Vasile Goldiș în plenul adunării, a Rezoluției Unirii. Rolul istoric al acestui loc este marcat prin cuvintele scrise în latină deasupra intrării, formulate  de istoricul Ioan Lupaș care, în traducere, spune astfel: „În anul Domnului 1918 la 1 Decembrie a fost proclamată pe vecie și în mod irevocabil dorința solemnă și unanimă a poporului, unirea Transilvaniei cu întreaga Daco-Românie. Amintirea acestui eveniment să fie eternă.”

Temă: Ordonați și în liniște vizitați împreună cu instructorul Sala Unirii. "
11,Statui,46.068120,23.571753,"Temă: Aflați câte un lucru despre fiecare dintre personalitățile implicate în Marea Unire, reprezentate prin busturile din Piața Cetății."
12,Făuritorii Marii Uniri,46.067918,23.571653,Temă: Căutați cele două plăci pe care se află înscrise numele celor implicați în Marea Unire. Găsiți numele de familie a lui Vichentie. 
