1;Machetă Cetate;46.068950,23.568187;x
2;Catedrala Încoronării;46.068493,23.569296;x
3;Luneta;46.068753,23.570029;x
4;Dragostea;46.069831,23.570267;x
5;Girafa discretă;46.069980,23.570319;x
6;Biblioteca Batthyaneum;46.070305,23.570654;x
7;Palatul Apor;46.070078,23.571951;x
8;Iezuit și copil;46.068756,23.571571;x
9;Muzeul Unirii;46.068202,23.571080;x
10;Sala Unirii;46.068168,23.571278;x
11;Statui;46.068120,23.571753;x
12;Făuritorii Marii Uniri;46.067918,23.571653;x
13;Monumentul Custozza;46.068029,23.572167;x
14;Lapidarium;46.068161,23.572232;x
15;Legionar;46.068085,23.572339;x
16;Monumentul Lossenau;46.067979,23.572715;x
17;Student și copii;46.068589,23.572669;x
18;Bătălie;46.067334,23.572684;x
19;Via principalis;46.067331,23.573053;x
20;Poarta 3;46.067050,23.574260;x
21;Obelisc;46.066918,23.575537;x
22;Macheta Cetății;46.067096,23.575268;x
23;Poarta 2;46.067367,23.575486;x
24;Liberty Bell;46.067642,23.572437;x
25;Exerciții de dicție;46.067570,23.572370;x
26;Vănzătorii de ouă;46.067611,23.572285;x
27;Vânzătoarea de flori;46.067612,23.572046;x
28;Piramida;46.067605,23.572016;x
29;Eleganță;46.067567,23.571272;x
30;Statuia Mihai Viteazul;46.067492,23.570963;x
31;Preot și copii;46.067870,23.569604;x
32;Catedrala catolică;46.067661,23.569563;x
33;Poarta 4;46.068009,23.568866;x
34;Capsula timpului;46.068475,23.567635;x
35;Batrân Răbdător;46.067021,23.572877;x
36;Poarta Monetăriei;46.066896,23.573065;x
37;Caponiera;46.065959,23.571988;x
38;Bastionul Sașilor;46.066097,23.573670;x
39;Platforma de artilerie;46.065554,23.572775;x
40;Camera de Tortură;46.065836,23.574550;x
41;Punct de belvedere;46.0663126,23.5746749;x
42;Celula lui Horea;46.0671348,23.5746026;x
